description,Buffalo,ExecutiveSupportServices,MunicipalManager,HumanSettlementsAndHousing,ChiefFinancialOfficer,CorporateServices,InfrastructureServices,EconomicDevelopmentAndPlanning,HealthOrPublicSafetyAndEmergency,MunicipalServices,EconomicDevelopmentAndAgencies,Total
rthousand,2020,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,
,PropertyRates,0,0,0,1687667,0,0,0,0,0,0,1687667
,ServiceChargesElectricityRevenue,0,0,0,23638,0,2160571,0,0,0,0,2184209
,ServiceChargesWaterRevenue,0,0,0,0,0,631338,0,0,0,0,631338
,ServiceChargesSanitationRevenue,0,0,0,0,0,397037,0,0,0,0,397037
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,334128,0,334128
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,95,0,0,0,12085,0,5770,2936,20885
,InterestEarnedExternalInvestments,0,0,0,53619,0,0,0,0,0,854,54473
,InterestEarnedOutstandingDebtors,0,0,0,88009,0,0,0,0,0,0,88009
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,1468,0,0,0,17737,508,0,19712
,LicencesAndPermits,0,0,0,0,0,0,0,17163,180,0,17343
,AgencyServices,0,0,0,0,0,0,0,35976,0,7933,43909
,OtherRevenue,0,0,0,608329,652,23069,22282,78248,26656,38625,797862
,TransfersAndSubsidies,0,31978,81276,392741,11364,381860,0,41812,162372,127575,1230979
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,0,31978,81371,2855470,12016,3593876,34366,190936,529614,177924,7507552
expenditurebytype,,,,,,,,,,,,
,EmployeeRelatedCosts,94780,48968,34105,292933,121099,541112,108114,415235,626681,71438,2354465
,RemunerationOfCouncillors,72766,0,0,0,0,0,0,0,0,0,72766
,DebtImpairment,0,0,0,158354,0,297360,0,11031,30540,0,497286
,DepreciationAndAssetImpairment,3602,195,10315,2569,22793,673856,119934,7942,17720,7831,866757
,FinanceCharges,0,0,0,0,0,39594,545,1736,1387,949,44211
,BulkPurchases,0,0,0,0,0,2057476,0,0,0,0,2057476
,OtherMaterials,3924,1156,1401,5895,1138,46819,5148,20327,39575,2269,127652
,ContractedServices,14709,72218,84162,54670,22182,415917,27261,12498,41687,83891,829196
,TransfersAndSubsidies,55952,0,0,1001,0,0,0,0,220,58809,115981
,OtherExpenditure,45122,25621,3984,112468,76342,89617,21854,20097,104129,41930,541164
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,290855,148158,133967,627891,243553,4161751,282856,488866,861939,267116,7506953
,TransfersAndSubsidiesCapitalNatProvDist,0,150,311993,0,150,355626,138500,0,0,2510,808929
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,290855,116030,259397,2227579,231387,212249,109990,297931,332324,86682,809528
