description,Cape Town,CommunityServicesAndHealth,CorporateServices,EconomicOpportunitiesAndAssetManagemnt,EnergyAndClimateChange,Finance,HumanSettlementsAndHousing,OfficeOfTheCityManager,SafetyAndSecurity,SpatialPlanningAndEnvironment,TransportPlanningAndProvisioning,UrbanManagement,WaterAndWaste,Total
rthousand,2019,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,9679843,0,0,0,0,0,236842,0,9916685
,ServiceChargesElectricityRevenue,41,0,0,13623107,0,0,0,0,0,0,0,0,13623148
,ServiceChargesWaterRevenue,0,0,532,0,0,0,0,0,0,0,0,3211485,3212017
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,1568599,1568599
,ServiceChargesRefuseRevenue,0,0,0,0,287133,0,0,0,0,0,0,1573566,1286433
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,22778,0,144458,1015,2,143005,0,295,86,0,0,142,311781
,InterestEarnedExternalInvestments,0,0,0,0,912296,200,0,0,0,0,0,0,912495
,InterestEarnedOutstandingDebtors,0,26,24,27655,108892,2,0,1192,20,2,0,243000,380814
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,3168,0,0,0,488,0,0,1177212,4384,29,0,172,1185453
,LicencesAndPermits,821,0,0,0,0,0,0,50719,715,29963,0,0,82218
,AgencyServices,0,0,0,0,204906,0,0,12766,0,0,0,0,217672
,OtherRevenue,40972,46927,1906,103315,71828,18942,6,14489,138069,303547,4150,60184,804335
,TransfersAndSubsidies,772908,24569,1291,874,5504855,414854,0,33475,12747,572789,34377,3830,7376568
,GainsOnDisposalOfPPE,0,0,33233,2500,0,5000,0,0,0,0,0,3000,43732
,TotalRevenueExcludingCapitalTransfersAndContributions,840689,71523,181445,13758466,16195976,582003,6,1290147,156020,906331,275369,6663977,40921952
expenditurebytype,,,,,,,,,,,,,,
,EmployeeRelatedCosts,2351926,1050373,500427,1362574,1031387,379666,174411,2150222,531801,816129,426895,3041996,13817806
,RemunerationOfCouncillors,0,0,0,0,0,0,1475,0,0,0,178344,0,179818
,DebtImpairment,0,0,8455,132851,396779,121119,0,852805,0,0,7105,822514,2341628
,DepreciationAndAssetImpairment,157813,202303,152027,371608,203920,217568,1637,118047,30531,720371,12423,826838,3015087
,FinanceCharges,3130,0,0,0,751248,77,0,0,0,0,0,36300,790756
,BulkPurchases,0,0,0,9475500,0,0,0,0,0,0,0,617101,10092601
,OtherMaterials,472688,13687,358,201993,19726,54277,1258,93520,19241,80847,6536,648347,1611763
,ContractedServices,809239,172732,482071,345818,72963,527868,31815,135960,91472,1949582,230021,2306958,7156499
,TransfersAndSubsidies,15806,0,113708,0,113746,120000,3323,52467,8362,215,8058,10521,446206
,OtherExpenditure,114762,369507,111849,169925,414648,48235,23642,195473,30067,112157,272989,463445,2326698
,LossOnDisposalOfPPE,15,66,31,450,0,0,0,61,0,0,9,123,756
,TotalExpenditureTest,3925379,1808667,1368210,12060720,3004417,1468810,237561,3598556,711474,3679302,1142379,8774143,41779619
,TransfersAndSubsidiesCapitalNatProvDist,133500,0,0,74541,550,667066,0,1083,10390,895556,26400,402300,2211385
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,41700,0,0,0,0,0,0,0,12000,53700
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,2951190,1737144,1186765,1813987,13192108,219741,237555,2307326,545064,1877416,840610,1695866,1407418
