description,Ekurhuleni,ExecutiveAndCouncil,FinanceAndCorporateServices,Energy,WaterAndSanitation,WasteAndFleetManagement,HumanSettlementsAndHousing,CityPlanning,EconomicDevelopment,DisasterAndEmergencyManagement,SportsAndRecreation,HealthAndSocialDevelopment,EnvironmentalResourceManagement,MetroPolice,TransportPlanningAndProvisioning,Other,Total
rthousand,2022,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,7581352,0,0,0,0,0,0,0,0,0,0,0,0,0,7581352
,ServiceChargesElectricityRevenue,0,0,19760580,0,0,0,0,0,0,0,0,0,0,0,0,19760580
,ServiceChargesWaterRevenue,0,0,0,6091506,0,0,0,0,0,0,0,0,0,0,0,6091506
,ServiceChargesSanitationRevenue,0,0,0,2298639,0,0,0,0,0,0,0,0,0,0,0,2298639
,ServiceChargesRefuseRevenue,0,0,0,0,1719416,0,0,0,0,0,0,0,0,0,0,1719416
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,4281,0,1443,126701,0,546,0,438,0,0,0,0,450,133859
,InterestEarnedExternalInvestments,0,80000,0,0,0,573,0,65,0,0,0,0,0,0,0,80638
,InterestEarnedOutstandingDebtors,0,128479,34837,226310,40748,0,0,0,0,0,0,0,0,0,0,430374
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,4038,898,0,0,0,0,0,40,0,0,812267,0,0,817244
,LicencesAndPermits,0,0,0,0,0,0,0,0,0,0,0,0,0,324758,0,324758
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,134,1883499,2913,1313549,0,17472,39235,24340,6372,81,4048,34056,0,8398,12832,3346929
,TransfersAndSubsidies,0,999666,814676,2219011,731653,192740,0,82511,0,8750,190355,0,0,442334,0,5681697
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,134,10672997,20621325,12149912,2493261,337486,39235,107462,6372,9309,194403,34056,812267,775490,13282,48266991
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,409699,1257478,629154,1043955,550012,403188,212883,197907,858444,531864,1317500,626712,1978709,493231,317925,10828663
,RemunerationOfCouncillors,150933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150933
,DebtImpairment,0,453213,563390,2400671,469492,54071,0,0,0,0,0,0,762944,0,0,4703781
,DepreciationAndAssetImpairment,6444,244034,553947,363010,146503,131712,1253,15787,37363,115019,57361,0,8463,274860,886456,2842211
,FinanceCharges,0,760349,121806,209159,44293,64152,0,50056,0,0,0,0,0,46553,193556,1489923
,BulkPurchases,0,0,15418908,0,0,0,0,0,0,0,0,0,0,0,0,15418908
,InventoryConsumed,0,1511644,216500,3804243,0,0,0,0,0,0,0,0,0,0,0,5532387
,ContractedServices,384913,482163,584944,1507501,432651,478503,43962,8776,28192,24197,21071,120289,402385,445620,365695,5330864
,TransfersAndSubsidies,6332,0,0,461275,0,17808,0,38245,0,0,0,0,0,0,0,523661
,OtherExpenditure,69054,396334,27969,341198,74355,62000,2760,13220,6147,9680,5484,26779,54920,49406,6354,1145661
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,1027376,5105216,18116616,10131012,1717307,1211435,260858,323991,930147,680760,1401416,773780,3207422,1309670,1769985,47966991
,TransfersAndSubsidiesCapitalNatProvDist,34000,0,367236,567750,85000,582000,0,0,30000,39700,0,0,0,270000,248293,2223979
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,80000
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,993242,5567781,2871945,2666650,860954,291949,221624,216529,893775,631751,1207013,739723,2395155,264180,1508411,2603979
