description,JHB,EconomicDevelopment,InfrastructureServices,TransportPlanningAndProvisioning,CommunityDevelopment,HealthDepartment,SocialDevelopment,ForensicInvestigationServices,OfficeOfTheOmbudsman,OfficeOfTheCityManager,SpeakerLegislativeArmOfCouncil,InformationAndCommunicationTechnology,Finance,CorporateAndSharedServices,HumanSettlementsAndHousing,DevelopmentPlanning,SafetyAndSecurity,MunicipalEntitiesAccounts,Electricty,Water,WasteAndFleetManagement,RoadsAndTransportDepartment,Metrobus,JohannesburgCityParksAndZoo,JohannesburgDevelopmentAgency,PropertyManagementDepartment,MetropolitanTradingCompany,JoburgMarket,JohannesburgSocialHousingCompany,JoburgCityTheatres,Total
rthousand,2020,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,0,0,0,0,0,0,0,13215032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13215032
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16971,0,0,0,0,0,0,0,0,0,0,0,16970962
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8341594,0,0,0,0,0,0,0,0,707,0,8342301
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5191714,0,0,0,0,0,0,0,0,0,0,5191714
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918601,0,0,0,0,0,0,0,0,0,1918601
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,0,4819,0,0,0,0,0,0,0,0,0,55543,0,0,105,1,0,0,4491,0,1385,0,0,0,73471,168867,4166,418383
,InterestEarnedExternalInvestments,0,0,0,0,0,0,0,0,0,0,0,316200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9320,0,2034,327554
,InterestEarnedOutstandingDebtors,0,32300,0,0,0,0,0,0,0,0,0,97055,0,33209,500,0,4,39,166563,26953,0,0,0,0,0,0,358,1648,0,401433
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,1057341,0,0,0,0,0,0,0,0,0,0,0,0,0,1058764
,LicencesAndPermits,0,7200,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8379
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295532,0,0,0,0,0,0,0,78894,0,0,420596,12829,0,807851
,OtherRevenue,0,37000,192006,23975,0,689,0,0,166,0,0,472264,6000,0,61893,178502,162,244,0,190464,226506,98140,49205,1459,84172,51699,6879,2413,43182,2132906
,TransfersAndSubsidies,19819,10000,807365,25500,171584,0,0,0,0,0,0,8867514,7000,0,14889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923671
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,33000
,TotalRevenueExcludingCapitalTransfersAndContributions,19819,86500,999371,55717,172763,689,0,0,166,0,0,22968065,13000,88752,77282,1531375,303643,17255099,13699871,2136018,230997,98140,50590,80353,84172,51699,510624,186464,49382,60750551
expenditurebytype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,94905,76237,198853,542888,1079777,188122,71098,20442,621700,195459,73256,981440,283408,187397,276474,4472025,0,1338,1334385,1314393,787616,333763,629389,84945,407691,34108,154393,102058,98490,15982485
