description,Mangaung,OfficeOfTheCityManager,OfficeOfTheExecutiveMayor,CorporateServices,Finance,SocialServices,CityPlanning,HumanSettlementsAndHousing,EconomicDevelopment,Engineering,Water,WasteAndFleetManagement,Miscellaneous,NalediAndSoutpan,StrategicProjects,Electricty,Total
rthousand,2018,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,1127399,0,0,0,0,0,0,0,0,0,0,0,0,1127399
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382962,2382962
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,889908,0,0,0,0,0,889908
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,275516,0,0,0,0,0,0,275516
,ServiceChargesRefuseRevenue,0,0,0,0,0,577,0,0,0,0,117386,0,0,0,0,117963
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,1917,0,3255,2690,16750,0,0,0,0,0,0,0,0,24613
,InterestEarnedExternalInvestments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26007,26007
,InterestEarnedOutstandingDebtors,0,0,0,22340,0,0,13000,148464,0,0,12346,17639,0,0,0,213788
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,525,31578,9011,0,0,0,0,0,0,0,0,6134,47247
,LicencesAndPermits,0,0,0,0,171,68,0,11,0,0,0,0,0,0,0,249
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,0,0,6964,5149,8392,26541,879,0,421,0,0,120000,0,0,24736,193082
,TransfersAndSubsidies,0,0,0,140996,0,0,0,0,99104,226043,187323,347418,0,0,0,1000884
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,0,0,8881,1296409,43396,38887,30630,148474,375041,1115951,317054,485056,0,0,2439839,6299617
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,44450,119069,159945,136475,364369,62621,86238,20886,174403,108825,195177,69464,48627,40769,324022,1955340
,RemunerationOfCouncillors,0,65216,0,0,0,0,0,0,0,0,0,0,0,0,0,65216
,DebtImpairment,0,0,0,50553,39274,0,3466,0,53452,326914,61655,32113,0,0,8417,575843
,DepreciationAndAssetImpairment,1987,994,34422,994,55019,2460,994,1794,417138,118217,37530,0,0,0,99383,770930
,FinanceCharges,0,0,0,0,0,28984,0,0,97930,47,10501,38944,0,0,120051,296457
,BulkPurchases,0,0,0,0,0,0,0,0,0,565514,0,0,0,0,1469051,2034565
,OtherMaterials,804,2301,5010,1029,9307,1034,116,659,16407,11459,13503,631,0,0,34593,96853
,ContractedServices,54705,24422,71431,78542,80659,16716,10884,15597,236780,69897,86400,5585,78,0,190025,941723
,TransfersAndSubsidies,0,3159,0,0,0,0,0,0,0,0,0,8398,0,0,0,11557
,OtherExpenditure,6354,34520,47049,48161,14296,8231,10580,1256,12900,27055,16196,94866,343,329,83783,405920
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,108301,249680,317857,315754,562924,120046,112277,40192,1009010,1227927,420962,250002,49047,41098,2329327,7154404
,TransfersAndSubsidiesCapitalNatProvDist,0,0,0,0,0,0,0,0,0,0,0,1033466,0,0,0,1033466
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,10318,0,0,0,10318
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,108301,249680,308976,980655,519528,81159,81648,108282,633969,111976,103907,1278838,49047,41098,110512,188998
