description,Mangaung,OfficeOfTheCityManager,OfficeOfTheExecutiveMayor,CorporateServices,Finance,SocialServices,CityPlanning,HumanSettlementsAndHousing,EconomicDevelopment,Engineering,Water,WasteAndFleetManagement,Miscellaneous,MetroPolice,NalediAndSoutpan,Other,Total
rthousand,2021,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,1481826,0,0,0,0,0,0,0,0,0,0,0,1481826
,ServiceChargesElectricityRevenue,0,0,0,0,0,677,0,0,0,0,0,0,0,0,3165360,3166037
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,1083984,0,0,0,0,0,1083984
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,415795,0,0,0,0,0,0,415795
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,157276,0,0,0,0,157276
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,2998,0,4620,3011,11622,318,0,0,0,0,0,0,0,22569
,InterestEarnedExternalInvestments,0,0,0,0,0,0,0,0,0,0,0,19126,0,0,640,19766
,InterestEarnedOutstandingDebtors,0,0,0,15842,0,0,11795,0,17582,162892,13819,0,0,0,25094,247024
,DividendsReceived,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
,FinesAndPenaltiesAndForfeits,0,0,0,45,0,1560,0,0,0,0,0,0,22369,0,1830,25803
,LicencesAndPermits,0,0,0,0,419,76,0,12,0,0,0,0,0,0,0,483
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,1,0,5907,7506,9892,39119,985,0,462,0,0,452282,1666,0,9898,527717
,TransfersAndSubsidies,0,0,2650,176163,0,0,0,0,123823,229896,282422,110362,0,0,0,925317
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,TotalRevenueExcludingCapitalTransfersAndContributions,1,0,11554,1681385,14931,44442,24402,306,557661,1476772,453518,581770,24035,0,3202823,8073601
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,113678,150676,188428,173639,222483,70240,99624,21702,156522,96074,205850,104118,129714,54902,380684,2168336
,RemunerationOfCouncillors,0,71712,0,0,0,0,0,0,0,0,0,0,0,0,0,71712
,DebtImpairment,0,0,0,18009,0,0,8000,0,59462,611546,43108,193301,0,0,10358,943784
,DepreciationAndAssetImpairment,472,103,18994,236,28303,436,236,652,150668,34202,7586,0,281,0,73461,315631
,FinanceCharges,0,0,0,0,0,16049,0,0,59347,0,2507,978,0,0,120059,198939
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002153,2002153
,InventoryConsumed,0,0,0,60058,0,0,0,0,0,507550,0,0,0,0,0,567607
,ContractedServices,30077,11602,71592,57940,20747,5174,10892,19290,89333,48958,30764,1857,41700,14037,123737,577701
,TransfersAndSubsidies,0,798,1642,0,0,0,0,0,0,0,0,390,0,0,0,2830
,OtherExpenditure,15882,23958,36814,46711,6758,2122,5186,412,1407,546,70618,35803,4578,239,76408,327443
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,274576,0,0,0,0,116,274692
,TotalExpenditureTest,160110,258850,317469,356592,278291,94021,123939,42057,516738,1573453,360433,336447,176274,69179,2786977,7450829
,TransfersAndSubsidiesCapitalNatProvDist,,0,0,0,0,0,0,0,0,0,0,897343,0,0,20466,917809
,TransfersAndSubsidiesCapitalNatProvAgencies,,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,13000
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,160109,258850,305915,1324793,263360,49579,99537,41751,40923,96680,93085,1142667,152239,69179,449312,1553581
