description,NMB,BudgetAndTreasury,HealthDepartment,HumanSettlementsAndHousing,EconomicDevelopmentTourismAndAgriculture,CorporateServices,InfrastructureAndEngineeringUnit,Water,Sanitation,ElectricityAndEnergy,ExecutiveAndCouncil,SafetyAndSecurity,MandelaBayStadium,SpecialProjectsAndProgrammes,SportsAndRecreation,Total
rthousand,2018,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,
,PropertyRates,2177931,0,0,0,0,0,0,0,0,0,0,0,0,0,2177931
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,3964692,0,0,0,0,0,3964692
,ServiceChargesWaterRevenue,0,0,0,0,0,0,749547,0,0,0,0,0,0,0,749547
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,459930,0,0,0,0,0,0,459930
,ServiceChargesRefuseRevenue,0,294667,0,0,0,0,0,0,0,0,0,0,0,0,294667
,ServiceChargesOther,0,0,0,200,0,0,0,0,0,0,0,0,0,0,200
,RentalOfFacilitiesAndEquipment,0,5640,13378,2642,12249,112,505,0,16,0,187,0,0,2389,37118
,InterestEarnedExternalInvestments,104361,0,0,2231,0,0,0,0,0,0,0,0,0,0,106592
,InterestEarnedOutstandingDebtors,76272,16287,20,0,0,0,63061,25236,40612,0,0,0,0,0,221488
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#value!
,FinesAndPenaltiesAndForfeits,43426,140,0,0,0,0,0,0,4673,22,254587,0,0,887,303735
,LicencesAndPermits,0,744,0,0,0,0,0,9,0,0,27275,0,0,6,28034
,AgencyServices,0,0,0,2,2891,0,0,0,0,0,0,0,0,0,2892
,OtherRevenue,30699,43326,22414,18377,884,17989,0,37916,2762,4874,5133,15000,32,2679,202086
,TransfersAndSubsidies,345387,112202,519795,109277,4709,62872,144768,168183,69129,5744,243024,0,14384,15000,1814474
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,2778076,473006,555607,132729,20733,80973,957881,691274,4081884,10640,530206,15000,14416,20961,10363386
expenditurebytype,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,427658,398668,170922,67159,242409,268775,187603,200007,351527,102528,642514,0,9294,203643,3272708
,RemunerationOfCouncillors,0,0,0,0,0,0,0,0,0,73451,0,0,0,0,73451
,DebtImpairment,114932,20309,0,61,0,0,45546,33324,152510,#value!,174924,0,0,0,541605
,DepreciationAndAssetImpairment,17587,53579,26433,810,59943,209456,121399,100540,121611,72734,5892,0,798,26930,817712
,FinanceCharges,1371,3049,466,0,1094,45838,21598,21982,38328,0,1919,0,0,6749,142392
,BulkPurchases,0,0,0,0,0,0,145458,0,3036475,0,0,0,0,0,3181932
,OtherMaterials,4493,32082,1482,470,4836,17215,50592,20882,36357,1298,15033,18,181,6880,191819
,ContractedServices,150751,99132,391543,17492,30682,207915,162708,118022,61962,29844,28132,35608,1594,34087,1369473
,TransfersAndSubsidies,0,0,0,18387,6000,989,0,0,0,22934,0,0,0,40728,89038
,OtherExpenditure,58310,76870,16536,67802,102556,31085,103710,9550,47843,72205,25211,15958,864,66457,694958
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,775101,683690,607383,172182,447520,781272,838614,504307,3846612,374993,893624,51584,12731,385474,10375088
,TransfersAndSubsidiesCapitalNatProvDist,0,14217,221560,19959,0,294977,201214,287251,34627,11710,0,0,0,0,1085515
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,52000,0,0,0,0,0,52000
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,2002976,196466,169784,19495,426788,405322,320481,474218,321898,352643,363418,36584,1685,364513,1125813
