description,Tshwane,CommunityAndSocialDevelopmentServicesDepartment,EconomicDevelopmentAndPlanning,EmergencyServicesDepartment,EnvironmentAndAgricultureManagementDepartment,Finance,PropertyManagementDepartment,HealthDepartment,HumanSettlementsAndHousing,MetroPolice,RegionalOperationsAndCoordinationDepartment,RoadsAndTransportDepartment,SharedServicesDepartment,Electricty,WaterAndSanitation,Other,Total
rthousand,2021,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,8587212,0,0,0,0,0,0,0,0,0,0,8587212
,ServiceChargesElectricityRevenue,0,9812,0,0,10946,0,0,0,0,16,0,0,14994814,0,0,15015588
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,4887501,0,4887501
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,1381594,0,1381594
,ServiceChargesRefuseRevenue,0,461,0,1598481,4,0,0,0,0,0,0,0,0,0,0,1598946
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,489,28018,0,423,0,51194,0,68672,4,4795,15199,0,0,0,1173,169968
,InterestEarnedExternalInvestments,0,2559,0,0,156122,0,0,503,0,0,0,0,0,0,0,159184
,InterestEarnedOutstandingDebtors,0,375,0,1,210771,0,0,858,0,0,0,0,184198,426961,0,823164
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,1,196,0,0,0,0,204,0,249429,548,0,0,304,0,220,250902
,LicencesAndPermits,0,941,0,0,0,0,0,0,0,0,51506,0,0,0,0,52447
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,26553,0,0,0,4655396,0,83237,89547,0,0,340662,0,0,0,57375,5252770
,TransfersAndSubsidies,1807,350305,11618,24445,105869,23806,4057,112,11250,27236,227170,0,161641,23936,7760,981012
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,28850,392667,11618,1623351,13726320,75000,87497,159692,260683,32595,634537,0,15340957,6719992,66528,39160287
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,238394,494481,880548,712203,1244650,132725,431216,193917,2423865,1862588,596425,198237,586015,443758,1716061,12155085
,RemunerationOfCouncillors,1158,1158,0,1158,1158,0,1158,1158,1158,0,1158,0,1142,0,144179,154588
,DebtImpairment,,271,6304,150763,706046,0,0,2485,117435,0,140,0,753766,387593,0,2124802
,DepreciationAndAssetImpairment,79708,69890,25279,127267,240909,112879,22320,176003,45844,165721,513515,222646,309431,366785,21123,2499321
,FinanceCharges,0,0,0,75224,1434382,0,0,0,0,4084,0,0,0,1399,0,1515089
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,11160809,0,0,11160809
,InventoryConsumed,5899,2678,2678,8315,27812,8632,9388,3492,4824,185587,86351,140558,49781,3232852,16729,3791131
,ContractedServices,82838,33075,33075,764425,220289,353439,75626,420749,38341,552597,421081,189764,54392,249210,220866,3684727
,TransfersAndSubsidies,2105,0,0,0,26385,0,2000,0,0,0,0,0,0,0,12674,43164
,OtherExpenditure,21411,26375,26375,107015,244853,302402,11437,42118,46918,177471,141761,639441,39067,5876,191154,2010793
,LossOnDisposalOfPPE,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,46
,TotalExpenditureTest,431515,627973,627973,1946371,4146484,910077,553146,839922,2678386,2948048,1760431,1390647,12954403,4687474,2322787,39139554
,TransfersAndSubsidiesCapitalNatProvDist,12727,0,0,0,0,0,0,609180,0,200,556601,0,263164,560967,0,2002838
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,274733,0,0,0,0,0,0,10000,284733
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,389938,235307,930273,323020,9579835,835077,465649,203683,2417703,2915253,569293,1390647,2649718,2593485,2246259,2308304
